guid,noteid,Title,OccludedImage,Clinical,Comment,Origin,Insertion,Attachments,Innervation,Actions,Plate,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12a,13a,14a,15a,16a,17a,18a,19a,20a,tags
4!0VRZtl3,1537912691624,"Head and Neck","<img src=""paste-21453361643521.jpg"" />","<div>The inferior alveolar and lingual nerves are typically&nbsp;anesthetized when dentists work on lower teeth.&nbsp;Occasionally, the injection procedure damages the nerves,&nbsp;producing anesthesia or paresthesia of the teeth, tongue,&nbsp;mouth, and chin on that side that may be prolonged and&nbsp;very annoying to the patient. The chin is numb because&nbsp;the mental nerve is a terminal branch of the inferior&nbsp;alveolar nerve.</div>",,,,,,,,"Frontal branch of superficial temporal artery","Auriculotemporal nerve","Lateral pterygoid muscle","Posterior belly of digastric muscle","Deep temporal artery","Posterior superior alveolar arteries","Lingual nerve","<div>Inferior alveolar artery and nerve (mandibular canal&nbsp;opened)</div>",,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Nervous::PNS::Head&Neck::Face"
.LUv_#bnDu,1537912768887,"Head and Neck","<img src=""paste-21672404975617 (1).jpg"" />",,,,,,,,,"<div>Superficial temporal artery and auriculotemporal&nbsp;nerve</div>","Maxillary artery","Buccal nerve (of trigeminal nerve)","Submandibular ganglion","Mylohyoid nerve","Anterior belly of digastric muscle","Great auricular nerve","Lesser occipital nerve",,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Otorhinolaryngological"
*].0>@B+sb,1537916868763,"Head and Neck","<img src=""paste-21788369092609.jpg"" />",,,,,,,,,"Superior oblique muscle","Superior rectus muscle","Levator palpebrae superioris muscle","Common annular tendon (annulus tendineus)",Trochlea,"Tendon of superior oblique muscle","Medial rectus muscle","Optic nerve (extracranial part)",,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Eye DopeRanatomy::System::Musculoskeletal::Muscular::Head&Neck::Face"
Z|8bP$9wnU,1537916947076,"Head and Neck","<img src=""paste-21865678503937.jpg"" />",,,,,,,,,"Lacrimal gland","Lacrimal nerve","Frontal nerve","Oculomotor nerve (n. III)","Olfactory bulb","Levator palpebrae superioris muscle","Trochlear nerve (n. IV)",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Nervous::CNS"
.Pj).9L2^g,1537917021177,"Head and Neck","<img src=""paste-21990232555521.jpg"" />",,,,,,,,,"Lacrimal nerve and artery","Lateral rectus muscle","Nasociliary nerve","Long ciliary nerve","Anterior ethmoidal artery and nerve","Ophthalmic artery",,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Otorhinolaryngological"
T-[_2^5CJx,1537917082310,"Head and Neck","<img src=""paste-22067541966849 (1).jpg"" />",,,,,,,,,"Short ciliary nerves","Ciliary ganglion","Superior oblique muscle","Inferior branch of oculomotor nerve","Trochlear nerve (intracranial part)",,,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Nervous::CNS"
9d_d-p0%1),1537917147481,"Head and Neck","<img src=""paste-22127671508993.jpg"" />",,,,,,,,,"Parotid gland","Lesser occipital nerve","Great auricular nerve","Transverse cervical nerve","Facial artery","Submandibular gland","Thyroid cartilage",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Neck DopeRanatomy::System::Otorhinolaryngological"
A6AoovtM0,1537917206408,"Head and Neck","<img src=""paste-22252225560577_1349468305012.jpg"" />","<div>Three hundred of the estimated 800 lymph nodes in the&nbsp;body are situated in the neck. Lymph nodes in the head&nbsp;and neck are arranged in two horizontal rings and two&nbsp;vertical chains on either side of the neck. The outer&nbsp;(superficial) ring consists of the occipital, preauricular&nbsp;(parotid), submandibular, and submental nodes; the inner&nbsp;(deep) ring is formed by clumps of mucosa-associated&nbsp;lymphoid tissue (MALT) located primarily in the&nbsp;nasopharynx and oropharynx (Waldeyer’s ring).&nbsp;The vertical chain consists of superior and inferior&nbsp;groups of deep cervical nodes related to the carotid&nbsp;sheath (jugular groups). All lymph vessels of the head and&nbsp;neck drain into the deep cervical nodes, either directly&nbsp;from the tissues or indirectly via nodes in outlying groups.&nbsp;Lymph is returned to the systemic venous circulation via&nbsp;either the right lymphatic duct or the thoracic duct.</div>",,,,,,,,"External carotid artery","Ansa cervicalis","Superior belly omohyoid muscle","Superficial cervical lymph node","Middle scalene muscle","Subclavius muscle",,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Otorhinolaryngological"
9i38hT<*<0,1537917344129,"Head and Neck","<img src=""paste-22424024252417.jpg"" />","<div>Typically, the common and internal carotid arteries have&nbsp;no branches in the neck. The external carotid has many&nbsp;branches, with the superior thyroid artery typically being&nbsp;the first (most inferior). This artery is ligated during&nbsp;surgical removal of the thyroid gland. The inferior thyroid&nbsp;artery also supplies the gland, and it arises from the&nbsp;thyrocervical trunk of the subclavian artery.</div>",,,,,,,,"Mylohyoid nerve","Anterior belly of digastric muscle","Superior thyroid artery","Omohyoid muscle","Vagus nerve (n. X)","Internal carotid artery","Common carotid artery","Ansa cervicalis",,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Neck DopeRanatomy::System::Cardiovascular::Vascular::Head&Neck::Neck"
.{-jrV^*T#,1537917469371,"Head and Neck","<img src=""paste-22497038696449.jpg"" />",,,,,,,,,"Facial artery","Ansa cervicalis","Middle scalene muscle","Anterior scalene muscle","Inferior thyroid artery","Dorsal scapular artery",,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Neck DopeRanatomy::System::Otorhinolaryngological"
*1V?t^Arpb,1537917533273,"Head and Neck","<img src=""paste-22621592748033 (1).jpg"" />",,,,,,,,,"Sphenoidal sinus",Uvula,"Olfactory nerves","Nasal septum","Incisive canal with nasopalatine nerve","Hard plate",,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Otorhinolaryngological"
Xp4U79x^su,1537917591442,"Head and Neck","<img src=""paste-22703197126657.jpg"" />","<div>In a blow-out fracture that damages the floor of the orbit&nbsp;(typically, the floor or medial wall is affected in this type of&nbsp;fracture), the inferior oblique and inferior rectus muscles&nbsp;often get caught in the fracture, limiting eye movements&nbsp;and causing double vision. Often, no operative procedure&nbsp;is necessary for healing because, as the inflammation&nbsp;subsides, the eye muscles become freed from the bone&nbsp;and normal eye movements resume.</div>",,,,,,,,"<div>Superior rectus and levator palpebrae superioris&nbsp;muscles</div>","Superior oblique muscle","Inferior rectus and inferior oblique muscles","Nasal septum","Maxillary sinus","Inferior nasal concha",,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Nervous::CNS"
>=-KtDI]Sq,1537917665315,"Head and Neck","<img src=""paste-22832046145537.jpg"" />","<div>The mylohyoid and the anterior belly of the digastric&nbsp;muscles are both innervated by the mylohyoid nerve,&nbsp;which is a branch of the inferior alveolar nerve.&nbsp;The mylohyoid nerve branches off the inferior alveolar&nbsp;nerve before the latter enters the mandibular canal.&nbsp;Both the mylohyoid nerve and the inferior alveolar nerve&nbsp;are ultimately branches of the mandibular nerve, which is&nbsp;the third division of the trigeminal nerve. Thus, injury to&nbsp;the mandibular nerve will paralyze these muscles as well&nbsp;as the muscles of mastication.</div>",,,,,,,,"Upper lip and orbicularis oris muscle","Genioglossus muscle","Geniohyoid muscle","Anterior belly of digastric muscle",Uvula,"Lingual tonsil",Epiglottis,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Mouth DopeRanatomy::System::Otorhinolaryngological"
60[1-Wz{k,1537917764696,"Head and Neck","<img src=""paste-22909355556865.jpg"" />","<div>During chewing, the buccinator muscles contract to keep&nbsp;food out of the recess between the teeth and the cheek.&nbsp;If the muscles are paralyzed due to a lesion of the facial&nbsp;nerve, the patient will use his or her fingers to remove food&nbsp;from this recess.</div>",,,,,,,,"Styloglossus muscle","Lingual nerve (V3)","Submandibular ganglion","Hyoglossus muscle","Hypoglossal nerve (n. XII)","Buccinator muscle",Tongue,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Mouth DopeRanatomy::System::Otorhinolaryngological"
ZdA/U&Lt_h,1537917846891,"Head and Neck","<img src=""paste-22990959935489.jpg"" />",,,,,,,,,"Submandibular duct","Sublingual gland","Geniohyoid muscle","Lingual nerve","Chorda tympani",,,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Otorhinolaryngological"
Z#4[EsS4Jc,1537917900653,"Head and Neck","<img src=""paste-23063974379521.jpg"" />",,,,,,,,,"Accessory nerve","Superior cervical ganglion of sympathetic trunk","Stylopharyngeal muscle","Superior constrictor muscle of pharynx","Middle constrictor muscle of pharynx","Inferior constrictor muscle of pharynx",Esophagus,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Musculoskeletal::Muscular::Head&Neck::Neck"
74Pd4Zy@y],1537917956610,"Head and Neck","<img src=""paste-23149873725441.jpg"" />","<div>During puberty, the thyroid cartilage markedly increases&nbsp;in size under the influence of testosterone, producing the&nbsp;“Adam’s apple” in men. Growth of the thyroid cartilage&nbsp;is associated with an increase in the length of the vocal&nbsp;chords, resulting in a lower frequency voice in men&nbsp;compared with young boys.</div>",,,,,,,,"Hyoid bone","Thyrohyoid muscle","Cricothyroid muscle","Thyroid cartilage","Cricoid cartilage",,,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Neck DopeRanatomy::System::Otorhinolaryngological::Larynx"
Q4a@J@$VP$,1537918043707,"Head and Neck","<img src=""paste-23214298234881.jpg"" />",,,,,,,,,"Cuneiform tubercle","Superior laryngeal nerve","Posterior cricoarytenoid muscle",Epiglottis,"Aryepiglottic fold","Aryepiglottic muscle","Inferior laryngeal nerve (branch of recurrent nerve)",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Neck DopeRanatomy::System::Otorhinolaryngological::Larynx"
U(9PVM9DgL,1537918186311,"Head and Neck","<img src=""paste-23484881174529.jpg"" />",,,,,,,,,"Facial artery","Mylohyoid muscle","Omohyoid muscle","Sternohyoid muscle","Stylohyoid muscle","Posterior belly of digastric muscle","Superior cervical lymph nodes","<div>Superior laryngeal artery and internal branch of&nbsp;superior laryngeal nerve</div>","Internal jugular vein",,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Neck DopeRanatomy::System::Otorhinolaryngological"
2^D#W_K/<k,1537918402077,"Head and Neck","<img src=""paste-23600845291521.jpg"" />","<div>The ansa cervicalis is composed of a series of loops of&nbsp;nerve twigs from C1 to C3 that innervate the infrahyoid&nbsp;muscles, sternohyoid, sternothyroid, and omohyoid. The&nbsp;superior root of the ansa cervicalis briefly travels with&nbsp;and is affixed to the hypoglossal nerve, but there is no&nbsp;intermingling of fibers between the two nerves. Thus, it&nbsp;is incorrect to suggest that any of the infrahyoid muscles&nbsp;are innervated by the hypoglossal nerve (cranial nerve&nbsp;XII), which does innervate almost all of the muscles of the&nbsp;tongue. Clearly then, a brainstem lesion that affects the&nbsp;hypoglossal nucleus would not affect the actions of these&nbsp;muscles.</div>",,,,,,,,"Anterior belly of digastric muscle","Mylohyoid muscle","Thyrohyoid muscle","Sternothyroid muscle","Thyroid gland","Omohyoid muscle","Sternohyoid muscle",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Neck DopeRanatomy::System::Musculoskeletal::Muscular::Head&Neck::Neck DopeRanatomy::System::Otorhinolaryngological::Thyroid"
;/x}]c5[e$,1537918526187,"Head and Neck","<img src=""paste-23768349016065.jpg"" />","<div>The inferior laryngeal nerve is the continuation of the&nbsp;recurrent laryngeal nerve inside the larynx. This nerve&nbsp;innervates all of the laryngeal muscles except the&nbsp;cricothyroid and also provides sensory innervation to the&nbsp;mucosa inferior to the ventricle.</div>",,,,,,,,Tongue,"Lateral glossoepiglottic fold","Inferior constrictor muscle of pharynx","Posterior cricoarytenoid muscle","Internal branch of superior laryngeal nerve","Sympathetic trunk","Inferior laryngeal nerve",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Neck DopeRanatomy::System::Otorhinolaryngological::Larynx"
+@]?(6;+/B,1537918602153,Brain,"<img src=""paste-24017457119233.jpg"" />","<div>The middle meningeal artery is located between the dura&nbsp;mater and the inner surface of the cranium. Its anterior&nbsp;branch crosses the pterion, which is a vulnerable area&nbsp;where the bones of the calvaria are very thin. Fracture&nbsp;of the calvaria at the pterion can tear the middle&nbsp;meningeal artery, resulting in an epidural hematoma,&nbsp;a life-threatening condition that requires emergency&nbsp;treatment to relieve excess intracranial pressure caused by&nbsp;the accumulation of blood in the epidural space.</div>",,,,,,,,"Falx cerebri","Position of middle meningeal artery","Optic nerve","Internal carotid artery","Superior sagittal sinus","Straight sinus","Cerebellar tentorium",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Cranial DopeRanatomy::System::Cardiovascular::Vascular::Head&Neck DopeRanatomy::System::Nervous::CNS::Brain"
":a0Yn,}PLQ",1537918767649,Brain,"<img src=""paste-24313809862657.jpg"" />",,,,,,,,,"Precentral gyrus","Central sulcus","Postcentral gyrus","Longitudinal fissure","Arachnoid granulations",,,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Cranial DopeRanatomy::System::Nervous::CNS::Brain"
T%dPH.KvOr,1537919297480,Brain,"<img src=""paste-24498493456385.jpg"" />",,,,,,,,,"Frontal lobe","Temporal lobe","Mammillary body",Pons,Pyramid,Cerebellum,"Olfactory bulb","Optic nerve","Optic nerve","Trigeminal nerve (n. V)",,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Cranial DopeRanatomy::System::Nervous::CNS::Brain"
@.NOCmj_~y,1537919354694,Brain,"<img src=""paste-24571507900417.jpg"" />","<div>The substantia nigra is a collection of dopaminergic&nbsp;neurons located in the midbrain. It is part of the basal&nbsp;ganglia, a collection of subcortical nuclei that regulate&nbsp;motor function. Death of the dopaminergic neurons in the&nbsp;substantia nigra is one of the characteristics of Parkinson’s&nbsp;disease. Symptoms of Parkinson’s disease include tremor,&nbsp;akinesia, bradykinesia, stiffness, and masked facies.</div>",,,,,,,,"Olfactory bulb and tract","Optic nerve","Pedunculus cerebri","Corpus callosum",Infundibulum,"Substantia nigra","Parahippocampal gyrus",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Cranial DopeRanatomy::System::Nervous::CNS::Brain"
/@`ke}qG4S,1537919432707,Brain,"<img src=""paste-24653112279041.jpg"" />","<div>The precentral gyrus is the primary motor cortex, which&nbsp;controls volitional movements on the contralateral side of&nbsp;the body and face. The postcentral gyrus is the primary&nbsp;somatosensory cortex, which processes sensation from&nbsp;the contralateral side of the body and face. Both of these&nbsp;areas contain a topographical representation of the body&nbsp;(homunculus), with the face located laterally and the&nbsp;legs and feet located medially. Lesions to the pre- and/or&nbsp;postcentral gyrus result in a loss of motor control and/or&nbsp;sensation on the contralateral side of the face and/or body.</div>",,,,,,,,"Precentral gyrus","Central sulcus","Lateral sulcus","Temporal lobe","Postcentral gyrus","Occipital lobe",Cerebellum,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Cranial DopeRanatomy::System::Nervous::CNS::Brain"
"-H6y.uG,L%",1537919500740,Brain,"<img src=""paste-24786256265217.jpg"" />",,,,,,,,,Thalamus,"Occipital lobe",Cerebellum,"Medulla oblongata","Corpus callosum",Hypothalamus,Pons,"Spinal cord",,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Cranial DopeRanatomy::System::Nervous::CNS::Brain"
?W-Mpae!_^,1537919557264,Brain,"<img src=""paste-24837795872769.jpg"" />",,,,,,,,,"Superior cerebellar peduncle","Middle cerebellar peduncle","Cerebellar tonsil",Vermis,"Nodule of vermis","Flocculus of cerebellum",,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Cranial DopeRanatomy::System::Nervous::CNS::Brain"
+w}frZG#Lx,1537919603441,Brain,"<img src=""paste-24966644891649.jpg"" />","<div>The cerebellum plays an important role in motor&nbsp;coordination. Patients who have cerebellar disorders&nbsp;present with ataxia, which is a generalized syndrome of&nbsp;incoordination involving gait and limb movements, slurred&nbsp;speech, and oculomotor disturbances.</div>",,,,,,,,"Nodule of vermis","Middle cerebellar peduncle","Flocculus of cerebellum","Culmen of vermis","Primary fissure of cerebellum","Declive of vermis",,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Cranial DopeRanatomy::System::Nervous::CNS::Brain"
